scenario_id,fleet_size,epoch_minutes,weights,temperature,method,trips_served,trips_missed,service_rate_pct,total_energy_kWh,avg_energy_per_trip,avg_wait_sec,total_deadhead_km,wall_time_sec
F8_E2_Wser_Tcol,8,2.0,service_focused,cold_winter,nearest,2780,6693,29.35,737.27,0.2652,1737.1,767.64,1.1
F8_E2_Wser_Tbas,8,2.0,service_focused,baseline,milp_ml,5881,3592,62.08,802.24,0.1364,293.4,118.03,53.71
F8_E2_Wser_Tbas,8,2.0,service_focused,baseline,milp_fixed,5881,3592,62.08,802.24,0.1364,293.4,118.03,49.25
F8_E2_Wser_Tbas,8,2.0,service_focused,baseline,nearest,2780,6693,29.35,737.27,0.2652,1737.1,767.64,1.1
F8_E2_Wser_Thot,8,2.0,service_focused,hot_summer,milp_ml,5881,3592,62.08,802.24,0.1364,293.4,118.03,48.46
F8_E2_Wser_Thot,8,2.0,service_focused,hot_summer,milp_fixed,5881,3592,62.08,802.24,0.1364,293.4,118.03,48.59
F8_E2_Wser_Thot,8,2.0,service_focused,hot_summer,nearest,2780,6693,29.35,737.27,0.2652,1737.1,767.64,1.11
F8_E5_Wbal_Tcol,8,5.0,balanced,cold_winter,milp_ml,5630,3843,59.43,737.85,0.1311,304.9,85.04,37.11
F8_E5_Wbal_Tcol,8,5.0,balanced,cold_winter,milp_fixed,5630,3843,59.43,737.85,0.1311,304.9,85.04,38.06
F8_E5_Wbal_Tcol,8,5.0,balanced,cold_winter,nearest,2606,6867,27.51,658.63,0.2527,1789.3,642.59,0.87
F8_E5_Wbal_Tbas,8,5.0,balanced,baseline,milp_ml,5630,3843,59.43,737.85,0.1311,304.9,85.04,39.1
F8_E5_Wbal_Tbas,8,5.0,balanced,baseline,milp_fixed,5630,3843,59.43,737.85,0.1311,304.9,85.04,37.32
F8_E5_Wbal_Tbas,8,5.0,balanced,baseline,nearest,2606,6867,27.51,658.63,0.2527,1789.3,642.59,0.84
F8_E5_Wbal_Thot,8,5.0,balanced,hot_summer,milp_ml,5630,3843,59.43,737.85,0.1311,304.9,85.04,36.4
F8_E5_Wbal_Thot,8,5.0,balanced,hot_summer,milp_fixed,5630,3843,59.43,737.85,0.1311,304.9,85.04,36.8
F8_E5_Wbal_Thot,8,5.0,balanced,hot_summer,nearest,2606,6867,27.51,658.63,0.2527,1789.3,642.59,0.84
F8_E5_Wene_Tcol,8,5.0,energy_focused,cold_winter,milp_ml,5625,3848,59.38,733.73,0.1304,267.2,143.3,36.72
F8_E5_Wene_Tcol,8,5.0,energy_focused,cold_winter,milp_fixed,5625,3848,59.38,733.73,0.1304,267.2,143.3,36.02
F8_E5_Wene_Tcol,8,5.0,energy_focused,cold_winter,nearest,2606,6867,27.51,658.63,0.2527,1789.3,642.59,0.87
F8_E5_Wene_Tbas,8,5.0,energy_focused,baseline,milp_ml,5625,3848,59.38,733.73,0.1304,267.2,143.3,36.73
F8_E5_Wene_Tbas,8,5.0,energy_focused,baseline,milp_fixed,5625,3848,59.38,733.73,0.1304,267.2,143.3,36.97
F8_E5_Wene_Tbas,8,5.0,energy_focused,baseline,nearest,2606,6867,27.51,658.63,0.2527,1789.3,642.59,0.96
F8_E5_Wene_Thot,8,5.0,energy_focused,hot_summer,milp_ml,5625,3848,59.38,733.73,0.1304,267.2,143.3,41.58
F8_E5_Wene_Thot,8,5.0,energy_focused,hot_summer,milp_fixed,5625,3848,59.38,733.73,0.1304,267.2,143.3,39.16
F8_E5_Wene_Thot,8,5.0,energy_focused,hot_summer,nearest,2606,6867,27.51,658.63,0.2527,1789.3,642.59,0.89
F8_E5_Wser_Tcol,8,5.0,service_focused,cold_winter,milp_ml,5621,3852,59.34,737.01,0.1311,308.9,84.26,38.57
F8_E5_Wser_Tcol,8,5.0,service_focused,cold_winter,milp_fixed,5621,3852,59.34,737.01,0.1311,308.9,84.26,38.48
F8_E5_Wser_Tcol,8,5.0,service_focused,cold_winter,nearest,2606,6867,27.51,658.63,0.2527,1789.3,642.59,0.88
F8_E5_Wser_Tbas,8,5.0,service_focused,baseline,milp_ml,5621,3852,59.34,737.01,0.1311,308.9,84.26,38.81
F8_E5_Wser_Tbas,8,5.0,service_focused,baseline,milp_fixed,5621,3852,59.34,737.01,0.1311,308.9,84.26,39.25
F8_E5_Wser_Tbas,8,5.0,service_focused,baseline,nearest,2606,6867,27.51,658.63,0.2527,1789.3,642.59,0.85
F8_E5_Wser_Thot,8,5.0,service_focused,hot_summer,milp_ml,5621,3852,59.34,737.01,0.1311,308.9,84.26,38.96
F8_E5_Wser_Thot,8,5.0,service_focused,hot_summer,milp_fixed,5621,3852,59.34,737.01,0.1311,308.9,84.26,38.73
F8_E5_Wser_Thot,8,5.0,service_focused,hot_summer,nearest,2606,6867,27.51,658.63,0.2527,1789.3,642.59,0.85
F8_E10_Wbal_Tcol,8,10.0,balanced,cold_winter,milp_ml,4616,4857,48.73,551.07,0.1194,368.1,39.67,40.43
F8_E10_Wbal_Tcol,8,10.0,balanced,cold_winter,milp_fixed,4616,4857,48.73,551.07,0.1194,368.1,39.67,40.9
F8_E10_Wbal_Tcol,8,10.0,balanced,cold_winter,nearest,2516,6957,26.56,614.19,0.2441,1890.5,565.27,0.84
F8_E10_Wbal_Tbas,8,10.0,balanced,baseline,milp_ml,4616,4857,48.73,551.07,0.1194,368.1,39.67,40.67
F8_E10_Wbal_Tbas,8,10.0,balanced,baseline,milp_fixed,4616,4857,48.73,551.07,0.1194,368.1,39.67,40.04
F8_E10_Wbal_Tbas,8,10.0,balanced,baseline,nearest,2516,6957,26.56,614.19,0.2441,1890.5,565.27,0.76
F8_E10_Wbal_Thot,8,10.0,balanced,hot_summer,milp_ml,4616,4857,48.73,551.07,0.1194,368.1,39.67,39.11
F8_E10_Wbal_Thot,8,10.0,balanced,hot_summer,milp_fixed,4616,4857,48.73,551.07,0.1194,368.1,39.67,39.05
F8_E10_Wbal_Thot,8,10.0,balanced,hot_summer,nearest,2516,6957,26.56,614.19,0.2441,1890.5,565.27,0.78
F8_E10_Wene_Tcol,8,10.0,energy_focused,cold_winter,milp_ml,4691,4782,49.52,556.85,0.1187,329.4,76.15,40.56
F8_E10_Wene_Tcol,8,10.0,energy_focused,cold_winter,milp_fixed,4691,4782,49.52,556.85,0.1187,329.4,76.15,39.71
F8_E10_Wene_Tcol,8,10.0,energy_focused,cold_winter,nearest,2516,6957,26.56,614.19,0.2441,1890.5,565.27,0.84
F8_E10_Wene_Tbas,8,10.0,energy_focused,baseline,milp_ml,4691,4782,49.52,556.85,0.1187,329.4,76.15,40.89
F8_E10_Wene_Tbas,8,10.0,energy_focused,baseline,milp_fixed,4691,4782,49.52,556.85,0.1187,329.4,76.15,39.22
F8_E10_Wene_Tbas,8,10.0,energy_focused,baseline,nearest,2516,6957,26.56,614.19,0.2441,1890.5,565.27,0.76
F8_E10_Wene_Thot,8,10.0,energy_focused,hot_summer,milp_ml,4691,4782,49.52,556.85,0.1187,329.4,76.15,39.63
F8_E10_Wene_Thot,8,10.0,energy_focused,hot_summer,milp_fixed,4691,4782,49.52,556.85,0.1187,329.4,76.15,47.21
F8_E10_Wene_Thot,8,10.0,energy_focused,hot_summer,nearest,2516,6957,26.56,614.19,0.2441,1890.5,565.27,1.05
F8_E10_Wser_Tcol,8,10.0,service_focused,cold_winter,milp_ml,4623,4850,48.8,554.83,0.12,370.9,38.88,44.06
F8_E10_Wser_Tcol,8,10.0,service_focused,cold_winter,milp_fixed,4623,4850,48.8,554.83,0.12,370.9,38.88,43.3
F8_E10_Wser_Tcol,8,10.0,service_focused,cold_winter,nearest,2516,6957,26.56,614.19,0.2441,1890.5,565.27,0.82
F8_E10_Wser_Tbas,8,10.0,service_focused,baseline,milp_ml,4623,4850,48.8,554.83,0.12,370.9,38.88,39.39
F8_E10_Wser_Tbas,8,10.0,service_focused,baseline,milp_fixed,4623,4850,48.8,554.83,0.12,370.9,38.88,38.19
F8_E10_Wser_Tbas,8,10.0,service_focused,baseline,nearest,2516,6957,26.56,614.19,0.2441,1890.5,565.27,0.78
F8_E10_Wser_Thot,8,10.0,service_focused,hot_summer,milp_ml,4623,4850,48.8,554.83,0.12,370.9,38.88,37.95
F8_E10_Wser_Thot,8,10.0,service_focused,hot_summer,milp_fixed,4623,4850,48.8,554.83,0.12,370.9,38.88,39.47
