time_sec,time_str,vehicle_id,status,lat,lon,location,soc,km_today,trips_served,event
25200.0,07:00:00,93,idle,41.833712,-87.626167,Rowe Village Middle,0.95,0.0,0,initial
25200.0,07:00:00,94,idle,41.833199,-87.627273,S.R. Crown Hall,0.95,0.0,0,initial
25200.0,07:00:00,95,idle,41.83604,-87.625535,The Commons,0.95,0.0,0,initial
25200.0,07:00:00,96,idle,41.833032,-87.624633,Alpha Sigma Phi,0.95,0.0,0,initial
25200.0,07:00:00,97,idle,41.838985,-87.625566,Arthur S. Keating Sports Center,0.95,0.0,0,initial
25200.0,07:00:00,98,idle,41.831886,-87.628445,Chemistry Research Building,0.95,0.0,0,initial
25200.0,07:00:00,99,idle,41.83774,-87.623975,Cunningham Hall,0.95,0.0,0,initial
25200.0,07:00:00,100,idle,41.834344,-87.623795,Farr Hall,0.95,0.0,0,initial
25200.0,07:00:00,101,idle,41.835681,-87.628387,Grover M. Herman Hall,0.95,0.0,0,initial
25200.0,07:00:00,102,idle,41.836861,-87.6283,Kaplan Institute,0.95,0.0,0,initial
25200.0,07:00:00,103,idle,41.834303,-87.629281,Main Building,0.95,0.0,0,initial
25200.0,07:00:00,104,idle,41.835527,-87.624207,McCormick Student Village,0.95,0.0,0,initial
25200.0,07:00:00,105,idle,41.835621,-87.625887,McCormick Tribune Campus Center,0.95,0.0,0,initial
25200.0,07:00:00,106,idle,41.833675,-87.628336,Paul Galvin Library,0.95,0.0,0,initial
25200.0,07:00:00,107,idle,41.835479,-87.627146,Perlstein Hall,0.95,0.0,0,initial
25200.0,07:00:00,108,idle,41.83793,-87.62738,Pritzker Science Center,0.95,0.0,0,initial
25200.0,07:00:00,109,idle,41.833712,-87.626167,Rowe Village Middle,0.95,0.0,0,initial
25200.0,07:00:00,110,idle,41.833199,-87.627273,S.R. Crown Hall,0.95,0.0,0,initial
25200.0,07:00:00,111,idle,41.83604,-87.625535,The Commons,0.95,0.0,0,initial
25200.0,07:00:00,112,idle,41.833032,-87.624633,Alpha Sigma Phi,0.95,0.0,0,initial
25200.0,07:00:00,113,idle,41.838985,-87.625566,Arthur S. Keating Sports Center,0.95,0.0,0,initial
25200.0,07:00:00,114,idle,41.831886,-87.628445,Chemistry Research Building,0.95,0.0,0,initial
25200.0,07:00:00,115,idle,41.83774,-87.623975,Cunningham Hall,0.95,0.0,0,initial
25200.0,07:00:00,116,idle,41.834344,-87.623795,Farr Hall,0.95,0.0,0,initial
25200.0,07:00:00,117,idle,41.835681,-87.628387,Grover M. Herman Hall,0.95,0.0,0,initial
25200.0,07:00:00,118,idle,41.836861,-87.6283,Kaplan Institute,0.95,0.0,0,initial
25200.0,07:00:00,119,idle,41.834303,-87.629281,Main Building,0.95,0.0,0,initial
